Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A03.08.001;Ларингоскопия;st20.005;;;;;;;;;TRUE
A03.08.001.001;Видеоларингоскопия;st20.005;;;;;;;;;TRUE
A03.08.002;Фарингоскопия;st20.005;;;;;;;;;TRUE
A03.08.002.001;Эпифарингоскопия;st20.005;;;;;;;;;TRUE
A03.08.004;Риноскопия;st20.005;;;;;;;;;TRUE
A03.08.004.001;"Эндоскопическая эндоназальная ревизия полости носа, носоглотки";st20.005;;;;;;;;;TRUE
A03.08.004.002;Эндоскопическая эндоназальная ревизия околоносовых пазух;st20.005;;;;;;;;;TRUE
A03.08.004.003;Видеориноскопия;st20.005;;;;;;;;;TRUE
A03.10.001;Торакоскопия;st28.002;;;;;;;;;TRUE
A03.10.001.001;Фиброторакоскопия;st28.002;;;;;;;;;TRUE
A03.15.001;Лапароскопия с осмотром поджелудочной железы;st32.016;;;;;;;;;TRUE
A03.16.001.001;Эзофагогастродуоденоскопия с электрокоагуляцией кровоточащего сосуда;st32.008;;;;;;;;;TRUE
A03.20.003;Гистероскопия;st02.011;;;;;;;;;TRUE
A03.20.003.001;Гистерорезектоскопия;st02.012;;;;;;;;;TRUE
A03.28.001;Цистоскопия;st09.005;st30.010;;;;;;;;TRUE
A03.28.001.001;Цистоскопия с моделированием устья мочеточника;st09.006;st10.001;st10.002;st30.011;;;;;;TRUE
A03.28.001.002;Цистоскопия с рассечением устья мочеточника;st09.006;st10.001;st10.002;st30.011;;;;;;TRUE
A03.28.002;Уретроскопия;st09.005;st30.010;;;;;;;;TRUE
A03.28.003;Уретероскопия;st09.005;st30.010;;;;;;;;TRUE
A03.28.004;Пиелоскопия;st09.005;st30.010;;;;;;;;TRUE
A03.30.003;Видеоэндоскопическая колпачковая резекция слизистой желудочно-кишечного тракта;st32.017;;;;;;;;;TRUE
A03.30.004;Видеоэндоскопическая петлевая резекция слизистой желудочно-кишечного тракта;st32.017;;;;;;;;;TRUE
A03.30.005;Видеоэндоскопическое лигирование основания малигнизированного полипа;st32.017;;;;;;;;;TRUE
A03.30.008;Диагностическая лапароскопия флюоресцентная;st32.016;;;;;;;;;TRUE
A04.10.002.001;Эхокардиография чреспищеводная;st25.004;;;;;;;;;TRUE
A04.12.013.001;Ультразвуковое исследование коронарных артерий внутрисосудистое;st25.004;;;;;;;;;TRUE
A05.10.006.002;Внутрисердечное электрофизиологическое исследование;st25.007;;;;;;;;;TRUE
A05.10.012;Имплантация петлевого регистратора для долговременной регистрации электрической активности проводящей системы сердца;st25.004;;;;;;;;;TRUE
A05.12.006;Магнитно-резонансная ангиография с контрастированием (одна область);st15.016;;;;;;;;;TRUE
A05.23.003;Электрокортикография;st16.007;;;;;;;;;TRUE
A06.01.007.001;Рентгенотерапия при новообразованиях кожи близкофокусная;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.03.065;Рентгенотерапия при заболеваниях костей;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.04.018;Рентгенотерапия при заболеваниях суставов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.06.005;Лимфорентгенография;st25.004;;;;;;;;;TRUE
A06.08.008;Рентгенотерапия новообразований верхних дыхательных путей;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.09.005.002;Компьютерная томография органов грудной полости с внутривенным болюсным контрастированием;st13.002;st13.005;st13.007;st24.004;st25.004;st27.009;;;;TRUE
A06.09.009;Рентгенотерапия при опухолях легких;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.10.006;Коронарография;st13.002;st13.005;st13.007;st24.004;st25.004;st27.007;st27.009;;;TRUE
A06.10.006.002;Шунтография;st13.002;st13.005;st13.007;st24.004;st25.004;st27.007;st27.009;;;TRUE
A06.10.008;Вентрикулография сердца;st25.004;;;;;;;;;TRUE
A06.11.003;Рентгенотерапия при новообразованиях средостения;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.12.003;Ангиография позвоночной артерии;st25.004;;;;;;;;;TRUE
A06.12.004;Ангиография сонной артерии избирательная;st25.004;;;;;;;;;TRUE
A06.12.005;Ангиография внутренней сонной артерии;st25.004;;;;;;;;;TRUE
A06.12.006;Ангиография наружной сонной артерии;st25.004;;;;;;;;;TRUE
A06.12.007;Ангиография общей сонной артерии;st25.004;;;;;;;;;TRUE
A06.12.009;Ангиография грудной аорты ретроградная;st25.004;;;;;;;;;TRUE
A06.12.010;Ангиография легочной артерии избирательная;st25.004;;;;;;;;;TRUE
A06.12.011;Ангиография легочной артерии поперечно-грудная;st25.004;;;;;;;;;TRUE
A06.12.012;Брюшная аортография;st25.004;;;;;;;;;TRUE
A06.12.014;"Ангиография бедренной артерии прямая, одной стороны";st25.004;;;;;;;;;TRUE
A06.12.015;"Ангиография бедренной артерии прямая, обеих сторон";st25.004;;;;;;;;;TRUE
A06.12.016;Ангиография бедренных артерий ретроградная;st25.004;;;;;;;;;TRUE
A06.12.017;Ангиография артерии верхней конечности прямая;st25.004;;;;;;;;;TRUE
A06.12.018;Ангиография артерии верхней конечности ретроградная;st25.004;;;;;;;;;TRUE
A06.12.020;Флебография верхней полой вены;st25.004;;;;;;;;;TRUE
A06.12.021;Флебография нижней полой вены;st25.004;;;;;;;;;TRUE
A06.12.022;Флебография воротной вены;st25.004;;;;;;;;;TRUE
A06.12.022.001;Флебография воротной вены возвратная;st25.004;;;;;;;;;TRUE
A06.12.023;Флебография почечной вены;st25.004;;;;;;;;;TRUE
A06.12.027;Флебография бедренная;st25.004;;;;;;;;;TRUE
A06.12.028;Флебография нижней конечности прямая;st25.004;;;;;;;;;TRUE
A06.12.029;Панаортография;st25.004;;;;;;;;;TRUE
A06.12.030;Ангиография сосудов почек;st25.004;;;;;;;;;TRUE
A06.12.031;Церебральная ангиография;st15.016;st25.004;;;;;;;;TRUE
A06.12.031.001;Церебральная ангиография тотальная селективная;st15.016;st25.004;;;;;;;;TRUE
A06.12.032;Флебография венозных коллекторов (каменистых синусов) головного мозга;st35.005;;;;;;;;;TRUE
A06.12.033;Флебография центральной надпочечниковой вены;st35.005;;;;;;;;;TRUE
A06.12.034;Флебография нижней конечности ретроградная;st25.004;;;;;;;;;TRUE
A06.12.035;Флебография нижней конечности трансартериальная;st25.004;;;;;;;;;TRUE
A06.12.036;Флебография верхней конечности прямая;st25.004;;;;;;;;;TRUE
A06.12.037;Флебография верхней конечности ретроградная;st25.004;;;;;;;;;TRUE
A06.12.038;Флебография верхней конечности трансартериальная;st25.004;;;;;;;;;TRUE
A06.12.039;Ангиография артерий нижней конечности прямая;st25.004;;;;;;;;;TRUE
A06.12.040;Ангиография артерий нижней конечности ретроградная;st25.004;;;;;;;;;TRUE
A06.12.042;Ангиография сосудов органов забрюшинного пространства;st25.004;;;;;;;;;TRUE
A06.12.049;Ангиография легочной артерии и ее ветвей;st13.002;st25.004;;;;;;;;TRUE
A06.12.056;Компьютерно-томографическая ангиография сосудов головного мозга;st15.016;;;;;;;;;TRUE
A06.12.059;Измерение фракционного резерва коронарного кровотока;st25.004;;;;;;;;;TRUE
A06.12.060;Оптическая когерентная томография коронарных артерий;st25.004;;;;;;;;;TRUE
A06.20.001;Гистеросальпингография;st02.011;;;;;;;;;TRUE
A06.20.007;Рентгенотерапия при опухолях молочной железы;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.23.005;Рентгенотерапия при новообразованиях головного мозга и мозговых оболочек;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A06.28.003;Ретроградная пиелография;st09.005;st30.010;;;;;;;;TRUE
A06.28.004;Ретроградная уретеропиелография;st09.005;st30.010;;;;;;;;TRUE
A06.28.012;Антеградная пиелоуретерография;st09.005;st30.010;;;;;;;;TRUE
A07.01.004;Дистанционная гамма-терапия при новообразованиях кожи;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.03.002.001;Дистанционная лучевая терапия при поражении костей на медицинских ускорителях электронов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.03.002.002;Дистанционная гамма-терапия при поражении костей;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.06.002.001;Дистанционная лучевая терапия на медицинских ускорителях электронов при поражении лимфатических узлов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
